ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
ENZYME_3,ENZYME_3,123,0.5227814519896701,0.98035861609169,0.6883116883116883,0.986013986013986,0.986013986013986,885,"tags=38%, list=37%, signal=25%",O00429/O14773/O15056/O15357/O43143/O75688/O75947/O95453/P13637/P16278/P17655/P19174/P25789/P27708/P38919/P49768/P50897/P53041/P61009/P61421/P78536/P78540/Q92878/Q9BSD7/Q9BYT8/Q9BZM1/Q9H0D6/Q9UKF6/P09960/Q08209/Q14790/P50570/P06576/P42285/P10253/O95336/Q9Y4P1/Q92769/Q13547/P26196/Q9BW91/P33316/P38606/P46459/O43464/P28066/P28074
ENZYME_6,ENZYME_6,71,0.5283246154124004,0.9771118045496495,0.6743256743256744,0.986013986013986,0.986013986013986,894,"tags=39%, list=37%, signal=25%",O15067/P05165/P14868/P27708/P41226/P49589/P56192/P68036/Q13085/Q5JTZ9/Q6P1M0/Q6PI48/Q6UB35/Q7Z7E8/Q96GW9/Q99942/Q9HCC0/Q9NSE4/Q9P2J5/Q9UMS4/Q9P2R7/Q9UBE0/P17812/P61088/Q8TBC4/P41252/P54136/Q9Y285
PF00071,PF00071,16,0.5664105132463235,0.9754511328410165,0.5854145854145855,0.986013986013986,0.986013986013986,826,"tags=38%, list=35%, signal=25%",P17081/P61019/P61020/P61106/Q9Y272/P61006
PS50250,PS50250,16,0.5660817098386407,0.9748848798336915,0.5894105894105894,0.986013986013986,0.986013986013986,773,"tags=31%, list=32%, signal=21%",O00231/O00232/Q9UNS2/Q9Y262/Q99627
PF14604,PF14604,10,0.5845284303189495,0.9720851557712767,0.5814185814185814,0.986013986013986,0.986013986013986,946,"tags=70%, list=40%, signal=42%",O15034/O94868/Q96RF0/Q9ULH1/Q14247/Q9NR46/Q9UJU6
PS00678,PS00678,35,0.5375210555634518,0.9680887235010374,0.6443556443556444,0.986013986013986,0.986013986013986,886,"tags=37%, list=37%, signal=24%",O43815/P78406/Q14137/Q6UXN9/Q7Z4S6/Q9BQ67/Q9BZK7/Q9NNW5/Q9UMS4/Q05048/Q86W42/P61962/Q9NRG9
PS01159,PS01159,11,0.5680544100716062,0.9547064594481371,0.6423576423576424,0.986013986013986,0.986013986013986,812,"tags=45%, list=34%, signal=30%",O14776/Q13526/Q6ZWJ1/P46939/Q5TCQ9
PF00400,PF00400,50,0.5196600923434522,0.9512362177263907,0.7972027972027972,0.986013986013986,0.986013986013986,914,"tags=34%, list=38%, signal=21%",O43815/P35606/P78406/Q14137/Q6IA86/Q6UXN9/Q7Z4S6/Q96J01/Q9BQ67/Q9BZK7/Q9NNW5/Q9UMS4/Q05048/Q86W42/P61962/Q9NRG9/O43684
PF00271,PF00271,34,0.5238430085662534,0.9429091228508442,0.7652347652347652,0.986013986013986,0.986013986013986,920,"tags=38%, list=39%, signal=24%",O00148/O14981/O43143/P38919/Q6ZRS2/Q8IYB8/Q92841/Q9UNY4/Q92499/P42285/P26196/Q7L2E3/Q9NR30
PS51194,PS51194,34,0.5238430085662534,0.9429091228508442,0.7652347652347652,0.986013986013986,0.986013986013986,920,"tags=38%, list=39%, signal=24%",O00148/O14981/O43143/P38919/Q6ZRS2/Q8IYB8/Q92841/Q9UNY4/Q92499/P42285/P26196/Q7L2E3/Q9NR30
